ImageFileName    Left_Edge_Longitude    Right_Edge_Longitude   Top_Edge_Latitude      Bottom_Edge_Latitude
gm_2230_1389_12.png:    15.99609375000000    16.08398437500000    50.00773901085420    49.95121990488068
gm_2230_1390_12.png:    15.99609375000000    16.08398437500000    49.95121990488068    49.89463439195416
gm_2230_1391_12.png:    15.99609375000000    16.08398437500000    49.89463439195416    49.83798244930612
gm_2230_1392_12.png:    15.99609375000000    16.08398437500000    49.83798244930612    49.78126405440096
gm_2230_1393_12.png:    15.99609375000000    16.08398437500000    49.78126405440096    49.72447918493695
gm_2230_1394_12.png:    15.99609375000000    16.08398437500000    49.72447918493695    49.66762781884725
gm_2230_1395_12.png:    15.99609375000000    16.08398437500000    49.66762781884725    49.61070993430091
gm_2230_1396_12.png:    15.99609375000000    16.08398437500000    49.61070993430091    49.55372550970387
gm_2230_1397_12.png:    15.99609375000000    16.08398437500000    49.55372550970387    49.49667452369991
gm_2230_1398_12.png:    15.99609375000000    16.08398437500000    49.49667452369991    49.43955695517172
gm_2230_1399_12.png:    15.99609375000000    16.08398437500000    49.43955695517172    49.38237278324186
gm_2230_1400_12.png:    15.99609375000000    16.08398437500000    49.38237278324186    49.32512198727375
gm_2230_1401_12.png:    15.99609375000000    16.08398437500000    49.32512198727375    49.26780454687271
gm_2230_1402_12.png:    15.99609375000000    16.08398437500000    49.26780454687271    49.21042044188694
gm_2230_1403_12.png:    15.99609375000000    16.08398437500000    49.21042044188694    49.15296965240851
gm_2230_1404_12.png:    15.99609375000000    16.08398437500000    49.15296965240851    49.09545215877440
gm_2230_1405_12.png:    15.99609375000000    16.08398437500000    49.09545215877440    49.03786794156751
gm_2230_1406_12.png:    15.99609375000000    16.08398437500000    49.03786794156751    48.98021698161759
gm_2231_1389_12.png:    16.08398437500000    16.17187500000000    50.00773901085420    49.95121990488068
gm_2231_1390_12.png:    16.08398437500000    16.17187500000000    49.95121990488068    49.89463439195416
gm_2231_1391_12.png:    16.08398437500000    16.17187500000000    49.89463439195416    49.83798244930612
gm_2231_1392_12.png:    16.08398437500000    16.17187500000000    49.83798244930612    49.78126405440096
gm_2231_1393_12.png:    16.08398437500000    16.17187500000000    49.78126405440096    49.72447918493695
gm_2231_1394_12.png:    16.08398437500000    16.17187500000000    49.72447918493695    49.66762781884725
gm_2231_1395_12.png:    16.08398437500000    16.17187500000000    49.66762781884725    49.61070993430091
gm_2231_1396_12.png:    16.08398437500000    16.17187500000000    49.61070993430091    49.55372550970387
gm_2231_1397_12.png:    16.08398437500000    16.17187500000000    49.55372550970387    49.49667452369991
gm_2231_1398_12.png:    16.08398437500000    16.17187500000000    49.49667452369991    49.43955695517172
